Year,Energy(MWh)
1978,1062835
1979,1027710
1980,1020320
1981,974176
1982,950888
1983,1003381
1984,908164
1985,885015
1986,748173
1987,927960
1988,948880
1989,1001227
1990,1097251
1991,1203139
1992,1249328
1993,1402332
1994,1629025
1995,1874144
1996,2146508
1997,2652307
1998,2420881
1999,2827239
2000,2910482
2001,3080341
2002,3199754
2003,3342874
2004,3539401
2005,3760140
2006,3978419
2007,3909093
2008,4320475
2009,4462513
2010,4976358
2011,5084085
2012,5800088
2013,6498370
2014,6348321
2015,7300569
2016,8030626
